Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-8-2022 22:28:57,mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",Once/twice a week (e.g. weekends),46-60,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Neutral,Important,Very Important,Very Important,Very Important
11-8-2022 22:32:16,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,Daily,More than 60,Body building,Gym / Studio,4,5,"My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,,Not more than Rs. 500,,Important,Very Important,Neutral,Important,Very Important
11-8-2022 22:34:55,Mumbai,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don't have access to right kind of space to practice regularly,Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Neutral,Important,Very Important
11-8-2022 22:55:15,"Vasai, Palghar",Female,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,3,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,I don’t think online training is effective,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Neutral,Neutral,Neutral,Neutral,Neutral
11-8-2022 22:55:51,Mumbai,Male,18-24,College diploma / Certificate,Yoga & breathing exercises,Lack of motivation / time,Once/twice a week (e.g. weekends),15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Not so important,Important,Very Important
11-8-2022 23:03:16,"Nigeria, Yaba,Lagos.",Male,45-54,Other,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,Once/twice a week (e.g. weekends),More than 60,General fitness/strength/flexibility/stamina,Other side on the road,4,3,My schedule doesn't permit regularity in my eating habits,I am not interested to try,"I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not so important,Neutral,Neutral,Neutral,Neutral
11-8-2022 23:20:40,Mumbai,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),46-60,General fitness/strength/flexibility/stamina,Home - without equipment,4,3,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don't have access to right kind of space to practice regularly,Rs. 500 - 1000,Annual subscription with price discount benefits,Neutral,Neutral,Important,Very Important,Important
11-9-2022 0:09:17,Calicut,Male,25-34,Masters / Post-Graduate degree,Yoga & breathing exercises,Lack of motivation / time,Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,"Temptation for junk food, Find it too difficult to follow a routine",I have already tried,I think it's effective. There are very good free courses on YouTube. I do yoga following a teacher on YouTube. I don't see why I should pay for an online course when it's freely available and is of good quality. I'm willing to consider paying for an offline experience though. Just that there is not enough motivation or time for considering that actively. ,Not more than Rs. 500,"Without clear advantage, don't see a point in paying. ",Important,Very Important,Neutral,Important,Neutral
11-9-2022 0:44:35,Mumbai ,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,Daily,More than 60,Body building,Gym / Studio,3,5,I follow a balanced diet routine,I am not interested to try,I don’t think online training is effective,Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Important,Important,Very Important
11-9-2022 7:55:09,mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,4,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Important,Important
11-9-2022 7:56:15,Mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Very Important,Very Important,Important
11-9-2022 7:57:17,Mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Once/twice a week (e.g. weekends),15-30,Body building,Home - with equipment,4,4,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Neutral,Important,Important,Neutral,Neutral
11-9-2022 7:58:39,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby",4 to 5 days a week,15-30,Weight loss/gain,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-9-2022 8:01:12,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",Daily,31-45,Body building,Home - with equipment,4,5,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Very Important,Important
